stop_id,stop_desc,stop_lat,stop_lon
450082,MADISON AV & E 23 ST,40.741173,-73.987686
450083,MADISON AV & E 24 ST,40.741405,-73.987516
450093,MADISON AV & E 37 ST,40.749401,-73.98165
450098,MADISON AV & E 45 ST,40.754483,-73.977988
450104,MADISON AV & E 52 ST,40.75885,-73.97471
450109,MADISON AV & E 60 ST,40.764005,-73.97096
450413,MADISON AV & 71 ST,40.771024,-73.965917
0,Turning Point,40.78153,-73.9583
450435,3 AV & E 86 ST,40.779342,-73.953517
450409,3 AV & E 120 ST,40.800675,-73.937943
0,Turning Point,40.779342,-73.95351
450451,2 AV & E 121 ST,40.800382,-73.935453
0,Turning Point,40.79699,-73.93776
0,Turning Point,40.80065,-73.946502
450446,5 AV & W 85 ST TRAVERSE,40.78078,-73.961086
400124,5 AV & W 72 ST,40.772446,-73.967247
450064,5 AV & W 58 ST,40.763824,-73.973479
450046,5 AV & W 51 ST,40.759315,-73.976742
450060,5 AV & W 43 ST,40.754111,-73.980576
405049,5 AV & W 35 ST,40.74899,-73.984317
0,Turning Point,40.741442,-73.989347
450082,MADISON AV & E 23 ST,40.741173,-73.987686
